155,7515802.860,4681649.821,647.779,asfallt,0.033,0.090,11:33:57,2001-06-20,1.777,0.000
156,7515796.488,4681635.332,646.412,asfallt,0.029,0.080,11:34:09,2001-06-20,1.781,0.000
157,7515790.786,4681626.302,645.538,asfallt,0.043,0.122,11:34:19,2001-06-20,1.785,0.000
158,7515787.355,4681629.890,645.548,asfallt,0.043,0.123,11:34:25,2001-06-20,1.787,0.000
159,7515792.151,4681637.605,646.285,asfallt,0.044,0.125,11:34:33,2001-06-20,1.790,0.000
160,7515791.564,4681638.075,646.332,asfallt,0.033,0.074,11:34:36,2001-06-20,1.224,0.000
161,7515800.245,4681636.382,646.841,puset,0.049,0.139,11:34:48,2001-06-20,1.795,0.000
162,7515799.965,4681631.209,646.738,puset,0.054,0.148,11:34:54,2001-06-20,1.798,0.000
163,7515799.539,4681623.788,646.551,puset,0.056,0.155,11:35:01,2001-06-20,1.800,0.000
164,7515821.645,4681622.261,647.299,muri,0.033,0.072,11:36:14,2001-06-20,1.597,0.000
165,7515822.242,4681632.964,648.545,teras,0.013,0.039,11:39:28,2001-06-20,2.153,0.000
